Institution,CourseNumber,LaunchDate,CourseTitle,Instructors,CourseSubject,Year,Participants,PercentAudited,PercentCertified,PercentCertifiedAudited,PercentPlayedVideo,PercentPosted,PercentGradeHigherThanZero,TotalCourseHours,MedianHoursCertification,MedianAge,PercentFemale,PercentBachelorOrHigher
MITx,6.002x,2012-09-05,Circuits and Electronics,Khurram Afridi,STEM,1,36105,15.04,8.32,54.98,83.2,8.17,28.97,418.94,64.45,26.0,11.72,60.68
MITx,6.00x,2012-09-26,Introduction to Computer Science and Programming,"Eric Grimson, John Guttag, Chris Terman",CS,1,62709,14.27,9.22,64.05,89.14,14.38,39.5,884.04,78.53,28.0,16.5,63.04
MITx,3.091x,2012-10-09,Introduction to Solid State Chemistry,Michael Cima,STEM,1,16663,17.13,12.49,72.85,87.49,14.42,34.89,227.55,61.28,27.0,29.68,58.76
HarvardX,PH207x,2012-10-15,Health in Numbers: Quantitative Methods in Clinical and Public Health Research,"Earl Francis Cook, Marcello Pagano",GHSS,1,52521,20.44,9.64,47.12,77.45,15.98,32.52,804.41,76.1,32.0,43.22,88.33
MITx,6.00x,2013-02-04,Introduction to Computer Science and Programming,Larry Rudolph,CS,1,65380,9.9,5.07,51.17,82.43,10.3,28.9,639.4,84.14,27.0,16.01,60.9
MITx,3.091x,2013-02-05,Introduction to Solid State Chemistry,Michael Cima,STEM,1,8270,10.13,6.61,65.16,80.25,10.22,23.49,68.11,59.29,27.0,26.7,58.99
MITx,14.73x,2013-02-12,The Challenges of Global Poverty,"Esther Duflo, Abhijit Banerjee",GHSS,1,29044,22.41,15.86,70.6,83.24,13.89,39.38,279.22,40.3,30.0,46.24,81.94
MITx,8.02x,2013-02-18,Electricity and Magnetism,"Walter Lewin, John Belcher, Peter Dourmashkin, Ricardo Abbate, Saif Rayyan, George Stephans, Isaac Chuang",STEM,1,39178,9.04,4.4,48.49,85.3,5.86,16.04,380.35,107.88,26.0,14.58,56.97
MITx,6.002x,2013-03-03,Circuits and Electronics,Tania Khanna,STEM,1,16752,10.56,6.58,61.16,83.55,5.68,22.47,148.54,59.39,25.0,11.12,59.51
MITx,7.00x,2013-03-05,Introduction to Biology: Secret of Life,"Eric Lander, Graham Walker, Brian White, Michelle, Mischke, Mary Ellen Wiltrout",STEM,1,28535,21.41,11.36,52.92,84.62,33.14,38.85,476.84,72.8,30.0,42.21,68.15
HarvardX,CB22x,2013-03-13,The Ancient Greek Hero,"Greg Nagy, L.Muellner",HHDRE,1,25873,6.99,5.41,77.09,77.05,13.76,18.05,140.72,46.26,32.0,46.69,71.95
MITx,2.01x,2013-04-15,Elements of Structures,"Simona Socrate, Alexie Kolpak",STEM,1,8736,19.52,9.35,47.86,81.82,11.42,29.98,84.75,52.13,27.0,13.78,64.45
HarvardX,PH278x,2013-05-15,Human Health and Global Environmental Change,"Aaron Bernstein, Jack Spengler",GHSS,1,23179,16.1,11.85,70.83,85.35,14.48,29.01,110.67,21.69,30.0,48.85,75.19
MITx,8.MREV,2013-06-01,Mechanics ReView,"David Pritchard, Colin Fredericks",STEM,1,15350,9.04,6.73,71.9,10.96,8.48,24.07,145.95,68.48,26.0,15.47,54.43
MITx,3.091x,2013-09-01,Introduction to Solid State Chemistry,Michael Cima,STEM,2,11961,7.27,3.19,43.96,79.57,6.92,23.84,95.14,77.45,26.0,26.41,54.64
HarvardX,CB22.1x,2013-09-03,The Ancient Greek Hero,Greg Nagy,HHDRE,2,17604,7.18,4.15,57.14,68.77,6.59,14.96,65.56,22.1,31.0,47.89,68.75
MITx,8.01x,2013-09-09,Classical Mechanics,Walter Lewin,STEM,2,35903,11.28,5.07,44.98,78.02,10.27,25.93,452.55,111.34,25.0,16.74,51.75
MITx,7.00x,2013-09-10,Introduction to Biology: Secret of Life,Eric Lander,STEM,2,24707,16.61,8.44,50.78,80.54,16.88,31.57,331.0,69.36,28.0,43.31,62.45
MITx,3.086x,2013-09-16,Innovation and Commercialization,Gene Fitzgerald,GHSS,2,25619,6.74,2.4,35.67,68.34,10.58,27.94,101.36,45.18,30.0,20.86,77.42
MITx,4.605x,2013-09-17,Global Architecture,Mark Jarzombek,HHDRE,2,17077,14.23,8.7,61.15,65.15,10.72,30.88,138.94,48.99,31.0,48.05,74.02
MITx,24.00x,2013-10-01,"Introduction to Philosophy: God, Knowledge and Consciousness",Caspar Hare,HHDRE,2,34371,16.16,5.51,34.08,73.84,22.16,45.27,154.23,27.25,31.0,35.75,65.0
HarvardX,SPU27x,2013-10-08,Science and Cooking: From Haute Cuisine to Soft Matter Science,Michael Brenner,STEM,2,60555,11.89,3.05,25.64,75.48,10.78,17.32,399.77,70.66,33.0,50.53,76.55
HarvardX,HSPH-HMS214x,2013-10-14,Fundamentals of Clinical Trials,"James Ware, Elliott Antman, Julie Buring, Graham McMahon, Marcia Testa, Robert Truog",GHSS,2,28384,17.76,8.48,47.79,60.92,11.07,22.68,104.37,20.2,31.0,45.05,86.27
MITx,6.002x,2013-10-16,Circuits and Electronics,Anant Agarwal,STEM,2,21387,5.93,1.77,29.47,63.3,3.18,10.04,117.84,81.11,25.0,10.71,57.18
